client_id;record_id;first_rec;sessions;length;rejects;income;trans;conversion;pc;mob;pad;organic;paid;referal;click;compare;cart
85;537;1;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0
85;9486;0;4;2;0;0;0;0;0;0;0;0;1;0;0;0;0
86;16555;1;1;27;0;0;0;100;0;0;0;0;0;0;1;0;0
87;218;1;6;26;33,33;0;0;0;1;0;0;0;0;0;0;0;0
87;9114;0;5;31;40;0;0;0;0;0;0;0;1;0;0;0;0
88;2505;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0
88;13455;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0
89;219;1;6;98;0;0;0;16,67;1;0;0;0;0;0;0;0;0
89;8928;0;6;98;0;0;0;16,67;0;0;0;0;1;0;0;0;0
90;7955;1;3;3;0;0;0;0;0;0;1;0;0;0;0;0;0
90;10414;0;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0
91;6439;1;2;147;50;0;0;50;0;1;0;0;0;0;0;0;0
91;13585;0;2;147;50;0;0;50;0;0;0;0;1;0;0;0;0
92;2624;1;2;686;50;0;0;50;1;0;0;0;0;0;0;0;0
92;13688;0;2;686;50;0;0;50;0;0;0;0;1;0;0;0;0
93;6518;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
93;13740;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
94;3877;1;5;29;0;0;0;0;0;1;0;0;0;0;0;0;0
94;9127;0;5;29;0;0;0;0;0;0;0;0;1;0;0;0;0
95;2677;1;2;1200;0;0;0;100;1;0;0;0;0;0;0;0;0
95;16184;0;2;1200;0;0;0;100;0;0;0;0;0;1;0;0;0
95;16942;0;1;2398;0;0;0;200;0;0;0;0;0;0;0;1;0
96;103;1;9;73;77,78;0;0;11,11;1;0;0;0;0;0;0;0;0
96;8936;0;6;109;66,67;0;0;16,67;0;0;0;0;1;0;0;0;0
96;16003;0;3;0;100;0;0;0;0;0;0;0;0;1;0;0;0
97;2716;1;2;12;50;0;0;0;1;0;0;0;0;0;0;0;0
98;6623;1;2;17;0;0;0;0;0;1;0;0;0;0;0;0;0
98;13913;0;2;17;0;0;0;0;0;0;0;0;1;0;0;0;0
99;6641;1;2;258;0;0;0;100;0;1;0;0;0;0;0;0;0
99;13935;0;2;258;0;0;0;100;0;0;0;0;1;0;0;0;0
100;4673;1;3;0;100;0;0;0;0;1;0;0;0;0;0;0;0
100;10493;0;3;0;100;0;0;0;0;0;0;0;1;0;0;0;0
101;6646;1;2;7;0;0;0;0;0;1;0;0;0;0;0;0;0
101;13941;0;2;7;0;0;0;0;0;0;0;0;1;0;0;0;0
102;2728;1;2;186;50;0;0;100;1;0;0;0;0;0;0;0;0
102;13946;0;2;186;50;0;0;100;0;0;0;0;1;0;0;0;0
102;16949;0;1;371;0;0;0;200;0;0;0;0;0;0;0;1;0
103;1059;1;3;4;33,33;0;0;0;1;0;0;0;0;0;0;0;0
103;10496;0;3;4;33,33;0;0;0;0;0;0;0;1;0;0;0;0
104;4116;1;4;17;75;0;0;0;0;1;0;0;0;0;0;0;0
104;9542;0;4;17;75;0;0;0;0;0;0;0;1;0;0;0;0
105;1062;1;3;0;100;0;0;0;1;0;0;0;0;0;0;0;0
105;10500;0;3;0;100;0;0;0;0;0;0;0;1;0;0;0;0
106;70;1;11;205;0;0;0;27,27;1;0;0;0;0;0;0;0;0
106;8720;0;10;224;0;0;0;30;0;0;0;0;1;0;0;0;0
107;4676;1;3;468;0;0;0;66,67;0;1;0;0;0;0;0;0;0
107;10501;0;3;468;0;0;0;66,67;0;0;0;0;1;0;0;0;0
108;2744;1;2;5;0;0;0;0;1;0;0;0;0;0;0;0;0
108;13982;0;2;5;0;0;0;0;0;0;0;0;1;0;0;0;0
109;4681;1;3;0;100;0;0;0;0;1;0;0;0;0;0;0;0
109;10508;0;3;0;100;0;0;0;0;0;0;0;1;0;0;0;0
110;3628;1;10;55;40;0;0;40;0;1;0;0;0;0;0;0;0
110;8721;0;10;55;40;0;0;40;0;0;0;0;1;0;0;0;0
110;17521;0;3;158;0;0;0;133,33;0;0;0;0;0;0;0;0;1
111;8419;1;4;618;50;0;0;50;0;0;0;1;0;0;0;0;0
111;15868;0;159;335;15,72;73156,2;2;49,06;0;0;0;0;0;1;0;0;0
111;16596;0;13;924;0;0;0;169,23;0;0;0;0;0;0;1;0;0
111;16953;0;3;30;0;0;0;100;0;0;0;0;0;0;0;1;0
111;17128;0;4;529;0;44639,6;1;300;0;0;0;0;0;0;0;0;1
112;6684;1;2;83;50;0;0;0;0;1;0;0;0;0;0;0;0
112;14003;0;2;83;50;0;0;0;0;0;0;0;1;0;0;0;0
113;17525;1;1;153;0;0;0;100;0;0;0;0;0;0;0;0;1
114;6708;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
114;14036;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
115;1076;1;3;0;100;0;0;0;1;0;0;0;0;0;0;0;0
115;14038;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
116;6711;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
116;14045;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
117;2777;1;2;730;50;0;0;50;1;0;0;0;0;0;0;0;0
117;14047;0;2;730;50;0;0;50;0;0;0;0;1;0;0;0;0
118;6719;1;2;42;0;0;0;0;0;1;0;0;0;0;0;0;0
118;14055;0;2;42;0;0;0;0;0;0;0;0;1;0;0;0;0
119;6726;1;2;756;0;0;0;50;0;1;0;0;0;0;0;0;0
119;14061;0;2;756;0;0;0;50;0;0;0;0;1;0;0;0;0
120;6730;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
120;14068;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
121;2783;1;2;19;50;0;0;0;1;0;0;0;0;0;0;0;0
121;14071;0;2;19;50;0;0;0;0;0;0;0;1;0;0;0;0
122;229;1;6;466;0;0;0;33,33;1;0;0;0;0;0;0;0;0
122;8941;0;6;466;0;0;0;33,33;0;0;0;0;1;0;0;0;0
123;2793;1;2;39;0;0;0;0;1;0;0;0;0;0;0;0;0
123;14087;0;2;39;0;0;0;0;0;0;0;0;1;0;0;0;0
124;17536;1;1;106;0;0;0;100;0;0;0;0;0;0;0;0;1
125;6745;1;2;484;50;0;0;50;0;1;0;0;0;0;0;0;0
125;14095;0;2;484;50;0;0;50;0;0;0;0;1;0;0;0;0
126;6752;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
126;14104;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
127;2804;1;2;8;0;0;0;0;1;0;0;0;0;0;0;0;0
127;14118;0;2;8;0;0;0;0;0;0;0;0;1;0;0;0;0
128;3887;1;5;78;40;0;0;20;0;1;0;0;0;0;0;0;0
128;9554;0;4;98;25;0;0;25;0;0;0;0;1;0;0;0;0
129;6763;1;2;9;50;0;0;0;0;1;0;0;0;0;0;0;0
129;14123;0;2;9;50;0;0;0;0;0;0;0;1;0;0;0;0
130;16608;1;1;1676;0;0;0;200;0;0;0;0;0;0;1;0;0
131;350;1;5;475;0;0;0;40;1;0;0;0;0;0;0;0;0
131;9558;0;4;593;0;0;0;50;0;0;0;0;1;0;0;0;0
132;4127;1;4;468;25;0;0;50;0;1;0;0;0;0;0;0;0
132;8582;0;2;33;50;0;0;0;0;0;0;1;0;0;0;0;0
132;14138;0;2;904;0;0;0;100;0;0;0;0;1;0;0;0;0
132;16963;0;1;1805;0;0;0;200;0;0;0;0;0;0;0;1;0
133;6775;1;2;651;50;0;0;50;0;1;0;0;0;0;0;0;0
133;14144;0;2;651;50;0;0;50;0;0;0;0;1;0;0;0;0
134;6781;1;2;5;50;0;0;0;0;1;0;0;0;0;0;0;0
134;14154;0;2;5;50;0;0;0;0;0;0;0;1;0;0;0;0
135;6782;1;2;83;0;0;0;0;0;1;0;0;0;0;0;0;0
135;14156;0;2;83;0;0;0;0;0;0;0;0;1;0;0;0;0
136;6790;1;2;9;0;0;0;0;0;1;0;0;0;0;0;0;0
136;14168;0;2;9;0;0;0;0;0;0;0;0;1;0;0;0;0
137;2827;1;2;328;0;0;0;50;1;0;0;0;0;0;0;0;0
137;14183;0;2;328;0;0;0;50;0;0;0;0;1;0;0;0;0
138;16614;1;1;1034;0;0;0;200;0;0;0;0;0;0;1;0;0
139;6802;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
139;14187;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
140;7971;1;3;255;33,33;0;0;100;0;0;1;0;0;0;0;0;0
140;14202;0;2;0;50;0;0;0;0;0;0;0;1;0;0;0;0
140;16968;0;1;764;0;0;0;300;0;0;0;0;0;0;0;1;0
141;6813;1;2;44;50;0;0;0;0;1;0;0;0;0;0;0;0
141;14204;0;2;44;50;0;0;0;0;0;0;0;1;0;0;0;0
142;2841;1;2;0;100;0;0;0;1;0;0;0;0;0;0;0;0
142;14217;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
143;233;1;6;25;16,67;0;0;0;1;0;0;0;0;0;0;0;0
143;8946;0;6;25;16,67;0;0;0;0;0;0;0;1;0;0;0;0
144;4724;1;3;2;33,33;0;0;0;0;1;0;0;0;0;0;0;0
144;10589;0;3;2;33,33;0;0;0;0;0;0;0;1;0;0;0;0
145;355;1;5;507;0;0;0;200;1;0;0;0;0;0;0;0;0
145;16617;0;1;2159;0;0;0;600;0;0;0;0;0;0;1;0;0
145;17544;0;2;1115;0;0;0;500;0;0;0;0;0;0;0;0;1
146;6835;1;2;256;50;0;0;50;0;1;0;0;0;0;0;0;0
146;14239;0;2;256;50;0;0;50;0;0;0;0;1;0;0;0;0
147;592;1;4;226;0;0;0;25;1;0;0;0;0;0;0;0;0
147;9568;0;4;226;0;0;0;25;0;0;0;0;1;0;0;0;0
148;2855;1;2;10;50;0;0;0;1;0;0;0;0;0;0;0;0
148;14245;0;2;10;50;0;0;0;0;0;0;0;1;0;0;0;0
149;4728;1;3;79;66,67;0;0;33,33;0;1;0;0;0;0;0;0;0
149;10593;0;3;79;66,67;0;0;33,33;0;0;0;0;1;0;0;0;0
150;1104;1;3;183;33,33;0;0;33,33;1;0;0;0;0;0;0;0;0
150;10596;0;3;183;33,33;0;0;33,33;0;0;0;0;1;0;0;0;0
151;16622;1;1;402;0;0;0;200;0;0;0;0;0;0;1;0;0
152;6851;1;2;440;0;0;0;50;0;1;0;0;0;0;0;0;0
152;14262;0;2;440;0;0;0;50;0;0;0;0;1;0;0;0;0
153;6863;1;2;113;0;0;0;50;0;1;0;0;0;0;0;0;0
153;14277;0;2;113;0;0;0;50;0;0;0;0;1;0;0;0;0
154;2877;1;2;38;50;0;0;0;1;0;0;0;0;0;0;0;0
154;14298;0;2;38;50;0;0;0;0;0;0;0;1;0;0;0;0
155;6872;1;2;12;50;0;0;0;0;1;0;0;0;0;0;0;0
155;14299;0;2;12;50;0;0;0;0;0;0;0;1;0;0;0;0
156;3893;1;5;532;20;0;0;60;0;1;0;0;0;0;0;0;0
156;9158;0;5;532;20;0;0;60;0;0;0;0;1;0;0;0;0
157;6876;1;2;228;0;0;0;150;0;1;0;0;0;0;0;0;0
157;8590;0;2;228;0;0;0;150;0;0;0;1;0;0;0;0;0
157;17552;0;2;228;0;0;0;150;0;0;0;0;0;0;0;0;1
158;6889;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
158;14326;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
159;7871;1;4;335;25;0;0;50;0;0;1;0;0;0;0;0;0
159;9573;0;4;335;25;0;0;50;0;0;0;0;1;0;0;0;0
160;6893;1;2;29;0;0;0;0;0;1;0;0;0;0;0;0;0
160;14333;0;2;29;0;0;0;0;0;0;0;0;1;0;0;0;0
161;4740;1;3;0;100;0;0;0;0;1;0;0;0;0;0;0;0
161;10615;0;3;0;100;0;0;0;0;0;0;0;1;0;0;0;0
162;6897;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
162;14337;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
163;16976;1;1;39;0;0;0;100;0;0;0;0;0;0;0;1;0
164;6902;1;2;63;50;0;0;0;0;1;0;0;0;0;0;0;0
164;14345;0;2;63;50;0;0;0;0;0;0;0;1;0;0;0;0
165;3650;1;9;150;0;0;0;22,22;0;1;0;0;0;0;0;0;0
165;15892;0;8;87;0;0;0;12,5;0;0;0;0;0;1;0;0;0
166;2920;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0
166;14379;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0
167;3894;1;5;3;0;0;0;0;0;1;0;0;0;0;0;0;0
167;9160;0;5;3;0;0;0;0;0;0;0;0;1;0;0;0;0
168;600;1;4;21;75;0;0;0;1;0;0;0;0;0;0;0;0
168;10631;0;3;28;66,67;0;0;0;0;0;0;0;1;0;0;0;0
169;4747;1;3;450;33,33;0;0;33,33;0;1;0;0;0;0;0;0;0
169;10633;0;3;450;33,33;0;0;33,33;0;0;0;0;1;0;0;0;0
170;6943;1;2;126;0;0;0;50;0;1;0;0;0;0;0;0;0
170;14419;0;2;126;0;0;0;50;0;0;0;0;1;0;0;0;0
171;17571;1;1;902;0;0;0;200;0;0;0;0;0;0;0;0;1
172;6948;1;2;0;100;0;0;0;0;1;0;0;0;0;0;0;0
172;14429;0;2;0;100;0;0;0;0;0;0;0;1;0;0;0;0
173;2939;1;2;763;0;0;0;50;1;0;0;0;0;0;0;0;0
173;16209;0;2;763;0;0;0;50;0;0;0;0;0;1;0;0;0
174;2945;1;2;38;0;0;0;0;1;0;0;0;0;0;0;0;0
175;6960;1;2;66;50;0;0;0;0;1;0;0;0;0;0;0;0
175;14450;0;2;66;50;0;0;0;0;0;0;0;1;0;0;0;0
176;6966;1;2;160;0;0;0;50;0;1;0;0;0;0;0;0;0
176;14460;0;2;160;0;0;0;50;0;0;0;0;1;0;0;0;0
177;6970;1;2;32;0;0;0;0;0;1;0;0;0;0;0;0;0
177;14468;0;2;32;0;0;0;0;0;0;0;0;1;0;0;0;0
178;2960;1;2;78;0;0;0;0;1;0;0;0;0;0;0;0;0
178;14474;0;2;78;0;0;0;0;0;0;0;0;1;0;0;0;0
179;6975;1;2;295;0;17752,4;1;350;0;1;0;0;0;0;0;0;0
179;14477;0;2;295;0;17752,4;1;350;0;0;0;0;1;0;0;0;0
179;17137;0;1;252;0;17752,4;1;600;0;0;0;0;0;0;0;0;1
180;4759;1;3;377;0;0;0;100;0;1;0;0;0;0;0;0;0
180;10658;0;3;377;0;0;0;100;0;0;0;0;1;0;0;0;0
180;17582;0;1;433;0;0;0;200;0;0;0;0;0;0;0;0;1
181;2964;1;2;810;0;33980;2;200;1;0;0;0;0;0;0;0;0
181;16297;0;1;1618;0;33980;2;400;0;0;0;0;0;0;1;0;0
182;17585;1;1;99;0;0;0;100;0;0;0;0;0;0;0;0;1
183;4764;1;3;0;100;0;0;0;0;1;0;0;0;0;0;0;0
183;10666;0;3;0;100;0;0;0;0;0;0;0;1;0;0;0;0
184;6989;1;2;17;50;0;0;0;0;1;0;0;0;0;0;0;0
